PostalCode,Longitude,Latitude,State2,State,City,County,Region,Area,TimeZone
21288,-76.6125,39.2905,MD,Maryland,BALTIMORE,BALTIMORE CITY,South,Baltimore-Columbia-Towson MD,5
21289,-76.6125,39.2905,MD,Maryland,BALTIMORE,BALTIMORE CITY,South,Baltimore-Columbia-Towson MD,5
21290,-76.6125,39.2905,MD,Maryland,BALTIMORE,BALTIMORE CITY,South,Baltimore-Columbia-Towson MD,5
21298,-76.6125,39.2905,MD,Maryland,BALTIMORE,BALTIMORE CITY,South,Baltimore-Columbia-Towson MD,5
21411,-76.4928,38.9785,MD,Maryland,ANNAPOLIS,ANNE ARUNDEL,South,Baltimore-Columbia-Towson MD,5
21412,-76.4928,38.9785,MD,Maryland,ANNAPOLIS,ANNE ARUNDEL,South,Baltimore-Columbia-Towson MD,5
21690,-76.0668,39.2091,MD,Maryland,CHESTERTOWN,QUEEN ANNES,South,Baltimore-Columbia-Towson MD,5
21709,-77.4105,39.4142,MD,Maryland,FREDERICK,FREDERICK,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
21746,-77.7151,39.6425,MD,Maryland,HAGERSTOWN,WASHINGTON,South,Hagerstown-Martinsburg MD-WV,5
21749,-77.7197,39.6447,MD,Maryland,HAGERSTOWN,WASHINGTON,South,Hagerstown-Martinsburg MD-WV,5
21890,-75.8286,38.0897,MD,Maryland,WESTOVER,SOMERSET,South,Salisbury MD-DE,5
22037,-77.2269,38.8596,VA,Virginia,FAIRFAX,FAIRFAX,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22082,-77.2272,38.8745,VA,Virginia,MERRIFIELD,FAIRFAX,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22095,-77.3866,38.9696,VA,Virginia,HERNDON,FAIRFAX,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22096,-77.3373,38.9627,VA,Virginia,RESTON,FAIRFAX,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22107,-77.1828,38.9327,VA,Virginia,MC LEAN,FAIRFAX,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
